,Month,Day,Hour,electron,cool,heat
453,1,19,20,14245.34,114.62,3962.22
454,1,19,21,14349.89,113.68,3814.65
455,1,19,22,16390.49,117.96,3619.57
456,1,19,23,16185.98,113.19,3313.38
457,1,20,0,15782.84,108.73,3118.2
458,1,20,1,15117.13,104.87,3029.75
459,1,20,2,15037.14,104.26,3035.01
460,1,20,3,14919.59,103.72,2981.58
461,1,20,4,14954.5,105.05,3021.88
462,1,20,5,15471.92,108.91,3121.01
463,1,20,6,15889.7,111.52,3204.14
464,1,20,7,16417.67,116.46,3342.12
465,1,20,8,16753.71,115.6,3394.56
466,1,20,9,16738.94,109,3625.86
467,1,20,10,19434.13,115.43,4022.8
468,1,20,11,21811.54,120.14,4439.37
469,1,20,12,23572.5,122.93,4727.75
470,1,20,13,24299.41,130.77,4979.73
471,1,20,14,23760.74,134.03,5361.71
472,1,20,15,22246.07,131.69,5370.79
473,1,20,16,19383.31,130.66,5338.51
474,1,20,17,16217.83,128.21,5150.86
475,1,20,18,15047.78,121.51,4619.5
476,1,20,19,14885.42,115.15,4099.46
477,1,20,20,14907.42,113.36,3912.48
478,1,20,21,14502.73,110.25,3776
479,1,20,22,14029.98,105.1,3490.43
480,1,20,23,13523.11,99.63,3160.65
481,1,21,0,13465.12,98.34,2959.84
482,1,21,1,13252.59,95.93,2837.58
483,1,21,2,13128.97,95.21,2784.05
484,1,21,3,13054.87,95.27,2795.01
485,1,21,4,13003.57,95.8,2830.92
486,1,21,5,13645.68,99.1,2982.14
487,1,21,6,14281.34,103.3,3218.29
488,1,21,7,14809.91,105.44,3215.39
489,1,21,8,15349.35,106.21,3210.17
490,1,21,9,16788.43,108.99,3243.99
491,1,21,10,19709.51,113.96,3573.02
492,1,21,11,23125.86,122.08,4163.01
493,1,21,12,22172.29,124.96,4396.27
494,1,21,13,25742.75,129.2,4673.04
495,1,21,14,25935.44,135.13,5010.62
496,1,21,15,24410.74,136.04,5110.05
497,1,21,16,21759.46,136.14,5091.53
498,1,21,17,18526.38,132.67,4890.01
499,1,21,18,17251.04,126.27,4411.38
500,1,21,19,16296.91,119.67,4101.17
501,1,21,20,15462.82,115.09,3853.61
502,1,21,21,14954.11,110.1,3595.45
503,1,21,22,14375.78,104.86,3310.41
504,1,21,23,13376.35,97.82,2953.07
505,1,22,0,12978.48,92.82,2631
506,1,22,1,12943.63,91.29,2497.49
507,1,22,2,12883.9,91.47,2499.87
508,1,22,3,12779.78,90.95,2480.64
509,1,22,4,12824.66,91.42,2567.37
510,1,22,5,13336.3,94.53,2646.1
511,1,22,6,13820.05,98.26,2781.46
512,1,22,7,14812.82,103.87,2929.54
513,1,22,8,15496.52,109.51,3172.3
514,1,22,9,17574.35,110.92,3275.53
515,1,22,10,18183.61,112.55,3449.1
516,1,22,11,23428.73,119.29,4011.2
517,1,22,12,25682.24,124.45,4366.58
518,1,22,13,22932.23,125.72,4376.55
519,1,22,14,21673.51,125.09,4397
520,1,22,15,19163.13,123.3,4290.77
521,1,22,16,18511.74,123.49,4393.15
522,1,22,17,16244.28,120.62,4195.96
523,1,22,18,15769.73,116.45,3875
524,1,22,19,15247.85,112.29,3692.99
525,1,22,20,14827.38,109.11,3534.75
526,1,22,21,14191.47,105.08,3370.36
527,1,22,22,13746.35,101.85,3202.7
528,1,22,23,13418.4,96.94,2826.14
529,1,23,0,12597.31,89.68,2438.1
530,1,23,1,11837.3,83.75,2150.51
531,1,23,2,11917.22,84.58,2198.99
532,1,23,3,11852.21,83.21,2197.03
533,1,23,4,11931.36,83.5,2258.94
534,1,23,5,12148.22,85.52,2339.94
535,1,23,6,12417.65,89.02,2445.72
536,1,23,7,12806.47,92.59,2520.14
537,1,23,8,13090.7,93.77,2524.44
538,1,23,9,14441.81,94.31,2601.01
539,1,23,10,16213.39,95.9,2803.17
540,1,23,11,15891.7,99.77,2995.8
541,1,23,12,16557.51,101.91,3205.24
542,1,23,13,16280.43,97.69,3066.19
543,1,23,14,18238.47,101.66,3252
544,1,23,15,17947.53,107.96,3507.89
545,1,23,16,15716.6,103.34,3301.03
546,1,23,17,13426.06,96.45,2992.06
547,1,23,18,13394.42,95.97,2725.86
548,1,23,19,13010.41,94.11,2517.67
549,1,23,20,12685.28,90.81,2397.52
550,1,23,21,12431.94,89.14,2337.98
551,1,23,22,12168.25,86.04,2216.46
552,1,23,23,11856.46,83.13,2069.9
553,1,24,0,11634.53,80.77,1884.01
554,1,24,1,11477.63,79.91,1883.66
555,1,24,2,11477.62,78.43,1852.02
556,1,24,3,11468.96,78.92,1868.87
557,1,24,4,11566.44,80.94,1904.97
558,1,24,5,11842.67,84.08,2004.57
559,1,24,6,12114.01,86.83,2054.08
560,1,24,7,12352.22,88.4,2087.51
561,1,24,8,12438.16,88.73,2047.96
562,1,24,9,14472.54,88.27,2077.31
563,1,24,10,13956.43,88.41,2132
564,1,24,11,14068.34,87.92,2140.33
565,1,24,12,14734.05,87.63,2094.03
566,1,24,13,14369.09,88.31,2132.62
567,1,24,14,17543.88,89.33,2165.81
568,1,24,15,17690.96,91.44,2314.57
569,1,24,16,16130.05,92.67,2328.49
570,1,24,17,14157.18,92.28,2283.97
571,1,24,18,13171.39,91.06,2136.67
572,1,24,19,13009.1,89.7,2070.46
573,1,24,20,12777.74,88.11,1979.26
574,1,24,21,12489.84,86.44,1900.6
575,1,24,22,12170.58,84.83,1835.42
576,1,24,23,11885.58,81.89,1747.57
577,1,25,0,11997.04,80.13,1674.98
578,1,25,1,11937.03,79.92,1675.48
579,1,25,2,12004.04,82,1698.81
580,1,25,3,12081.7,82.64,1696.34
581,1,25,4,12276.08,85.07,1757.18
582,1,25,5,12895.78,90.55,1845.66
583,1,25,6,13485.99,94.41,1990.13
584,1,25,7,13920.84,96.82,2017.53
585,1,25,8,13976.34,96.77,2014.59
586,1,25,9,15837.99,99.13,2083.67
587,1,25,10,17387.93,98.53,2149.35
588,1,25,11,16007.38,99.03,2204.36
589,1,25,12,18265.04,98.61,2286.64
590,1,25,13,15860.85,99.28,2233.23
591,1,25,14,15349.94,101.58,2012.56
592,1,25,15,15524.63,103.74,1849.22
593,1,25,16,17877.29,100.01,1882.87
594,1,25,17,14510.82,97.76,1838.52
595,1,25,18,14095.91,97.15,1779.42
596,1,25,19,13807.6,94.79,1728.64
597,1,25,20,13432.77,93.55,1739.64
598,1,25,21,13077.3,89.99,1712.12
599,1,25,22,12644.68,86.85,1674.46
600,1,25,23,12251.54,83.44,1585.04
601,1,26,0,12381.75,84.35,1525.63
602,1,26,1,12549.18,84.49,1523.54
603,1,26,2,12437.24,85.15,1529.82
604,1,26,3,12397.96,85.41,1544.65
605,1,26,4,12463.54,87.56,1598
606,1,26,5,13060.58,91.79,1663.13
